"ClaseT","CodClase","Clase","Mercado","Clase_MC","Linea","Laboratorio","Molecula","Producto","Presentacion","Provincia","Mes_1_Un","Mes_2_Un","Mes_3_Un","Mes_4_Un","Mes_5_Un","Mes_6_Un","Mes_7_Un","Mes_8_Un","Mes_9_Un","Mes_10_Un","Mes_11_Un","Mes_12_Un","Mes_13_Un","Mes_14_Un","Mes_15_Un","Mes_16_Un","Mes_17_Un","Mes_18_Un","Mes_19_Un","Mes_20_Un","Mes_21_Un","Mes_22_Un","Mes_23_Un","Mes_24_Un","A_MAT_Un_Act","A_MAT_Un_AA","A_YTD_UN_Act","A_YTD_UN_AA","A_TRIM_Un_Act","A_TRIM_Un__1","A_TRIM_Un_AA","A_SEM_Un_Act","A_SEM_AA","A_MES_Un_Act","A_MES_Un__1","A_MES_Un_AA"
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO","","NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30","LA PAMPA","1.0","","","","","","","1.0","","","","","","","","","","","","","","","","1.0","2.0","1.0","2.0","","1.0","","","1.0","","1.0","",""
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO","","NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30","LA PLATA","","12.0","12.0","6.0","11.0","14.0","5.0","12.0","5.0","9.0","7.0","9.0","13.0","16.0","7.0","9.0","10.0","9.0","8.0","13.0","7.0","12.0","15.0","18.0","102.0","137.0","86.0","104.0","24.0","31.0","36.0","55.0","64.0","","12.0","13.0"
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO","","NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30","LA RIOJA","","","","","","","1.0","","","","","","","","","","","","","","","","","","1.0","","1.0","","","","","","","","",""
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO","","NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30","MENDOZA","","1.0","","3.0","3.0","1.0","2.0","1.0","4.0","1.0","1.0","4.0","","7.0","4.0","3.0","4.0","","5.0","5.0","4.0","5.0","3.0","2.0","21.0","42.0","16.0","37.0","1.0","7.0","11.0","8.0","18.0","","1.0",""
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO","","NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30","MISIONES","39.0","33.0","40.0","29.0","49.0","47.0","28.0","41.0","20.0","27.0","31.0","37.0","37.0","63.0","47.0","65.0","80.0","78.0","66.0","70.0","72.0","72.0","56.0","67.0","421.0","773.0","353.0","650.0","112.0","125.0","147.0","237.0","370.0","39.0","33.0","37.0"
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO","","NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30","NEUQUEN","3.0","6.0","10.0","8.0","5.0","6.0","","2.0","3.0","4.0","3.0","6.0","2.0","9.0","5.0","1.0","2.0","1.0","6.0","6.0","2.0","4.0","3.0","5.0","56.0","46.0","47.0","38.0","19.0","19.0","16.0","38.0","20.0","3.0","6.0","2.0"
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO","","NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30","RIO NEGRO","6.0","11.0","10.0","15.0","7.0","15.0","9.0","6.0","14.0","18.0","12.0","22.0","14.0","17.0","19.0","11.0","22.0","19.0","20.0","15.0","20.0","23.0","18.0","27.0","145.0","225.0","111.0","180.0","27.0","37.0","50.0","64.0","102.0","6.0","11.0","14.0"
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO","","NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30","SALTA","4.0","69.0","34.0","35.0","29.0","45.0","41.0","124.0","67.0","21.0","3.0","49.0","165.0","46.0","121.0","166.0","45.0","114.0","185.0","87.0","65.0","141.0","90.0","88.0","521.0","1313.0","469.0","1135.0","107.0","109.0","332.0","216.0","657.0","4.0","69.0","165.0"
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO","","NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30","SAN JUAN","8.0","3.0","11.0","12.0","12.0","10.0","8.0","17.0","6.0","3.0","5.0","22.0","10.0","7.0","8.0","2.0","5.0","12.0","7.0","17.0","16.0","7.0","6.0","7.0","117.0","104.0","90.0","91.0","22.0","34.0","25.0","56.0","44.0","8.0","3.0","10.0"
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO","","NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30","SAN LUIS","","2.0","","2.0","6.0","","2.0","","2.0","2.0","","6.0","","2.0","","2.0","3.0","3.0","2.0","2.0","","4.0","3.0","2.0","22.0","23.0","16.0","18.0","2.0","8.0","2.0","10.0","10.0","","2.0",""
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO","","NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30","SANTA CRUZ","1.0","7.0","","","4.0","3.0","3.0","3.0","3.0","6.0","2.0","","3.0","3.0","4.0","5.0","4.0","5.0","4.0","4.0","5.0","","4.0","4.0","32.0","45.0","30.0","37.0","8.0","7.0","10.0","15.0","24.0","1.0","7.0","3.0"
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO","","NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30","SANTA FE","13.0","15.0","21.0","22.0","20.0","25.0","29.0","47.0","23.0","45.0","43.0","22.0","27.0","30.0","23.0","29.0","41.0","39.0","38.0","42.0","42.0","41.0","39.0","50.0","325.0","441.0","260.0","352.0","49.0","67.0","80.0","116.0","189.0","13.0","15.0","27.0"
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO","","NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30","SANTIAGO DEL ESTERO","","","","1.0","1.0","4.0","3.0","1.0","","1.0","","2.0","1.0","2.0","","","5.0","5.0","2.0","6.0","3.0","1.0","6.0","2.0","13.0","33.0","11.0","25.0","","6.0","3.0","6.0","13.0","","","1.0"
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO","","NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30","SUBURBANO","170.0","209.0","212.0","320.0","281.0","282.0","231.0","199.0","189.0","241.0","221.0","249.0","232.0","245.0","298.0","232.0","246.0","270.0","365.0","376.0","225.0","291.0","325.0","331.0","2804.0","3436.0","2334.0","2780.0","591.0","883.0","775.0","1474.0","1523.0","170.0","209.0","232.0"
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO","","NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30","TIERRA DEL FUEGO","16.0","15.0","4.0","2.0","10.0","2.0","9.0","2.0","4.0","12.0","10.0","7.0","4.0","4.0","4.0","9.0","2.0","5.0","14.0","14.0","6.0","1.0","1.0","6.0","93.0","70.0","76.0","63.0","35.0","14.0","12.0","49.0","28.0","16.0","15.0","4.0"
"A01A0 ESTOMATOLOGICOS","E","Etico","NO ASIGNADO","","NO ASIGNADO","Bernabo","sodio fluoruro","FLUORDENT-BEB","FLUORDENT comp.x 30","TUCUMAN","5.0","11.0","7.0","17.0","10.0","8.0","9.0","8.0","8.0","7.0","5.0","10.0","6.0","7.0","11.0","4.0","18.0","11.0","6.0","28.0","4.0","16.0","14.0","15.0","105.0","140.0","90.0","111.0","23.0","35.0","24.0","58.0","57.0","5.0","11.0","6.0"
